Id,SalePrice
1461,124900
1462,159876
1463,178700
1464,178700
1465,202940
1466,171180
1467,163240
1468,180620
1469,188400
1470,123980
1471,209686
1472,95180
1473,83900
1474,161000
1475,120580
1476,382114
1477,243103
1478,289770
1479,288500
1480,459481
1481,382114
1482,200103
1483,177607
1484,154740
1485,169200
1486,193700
1487,393690
1488,261478
1489,199640
1490,212580
1491,190380
1492,120730
1493,173300
1494,291400
1495,286537
1496,227380
1497,202590
1498,154646
1499,154646
1500,162786
1501,174280
1502,149990
1503,248924
1504,228400
1505,217626
1506,220267
1507,305383
1508,222100
1509,157700
1510,161100
1511,161880
1512,192900
1513,179200
1514,158800
1515,211900
1516,157200
1517,146860
1518,204500
1519,211034
1520,142300
1521,148580
1522,172700
1523,115200
1524,113980
1525,134830
1526,132900
1527,123198
1528,122220
1529,161280
1530,177850
1531,148380
1532,111160
1533,176700
1534,122220
1535,134240
1536,132100
1537,128400
1538,146640
1539,155790
1540,130600
1541,163220
1542,132240
1543,244058
1544,97400
1545,91480
1546,119180
1547,142190
1548,112800
1549,144370
1550,170700
1551,131896
1552,218487
1553,123780
1554,103800
1555,169500
1556,108200
1557,124800
1558,94580
1559,141957
1560,175500
1561,151300
1562,125680
1563,124410
1564,171080
1565,163080
1566,222280
1567,95760
1568,232158
1569,155700
1570,115398
1571,128500
1572,148580
1573,229826
1574,192940
1575,205036
1576,248580
1577,193580
1578,147900
1579,131292
1580,187900
1581,128940
1582,127000
1583,371752
1584,235740
1585,140200
1586,93500
1587,103058
1588,142580
1589,104360
1590,112880
1591,106520
1592,149180
1593,113976
1594,147490
1595,125580
1596,255800
1597,176240
1598,165880
1599,149100
1600,164660
1601,71762
1602,121460
1603,123380
1604,262100
1605,254026
1606,198100
1607,307700
1608,202980
1609,166380
1610,169200
1611,152657
1612,183840
1613,199055
1614,128650
1615,76880
1616,76880
1617,83900
1618,119576
1619,120000
1620,297000
1621,162766
1622,138986
1623,241055
1624,239846
1625,126200
1626,199136
1627,178700
1628,240800
1629,149880
1630,320456
1631,189500
1632,196830
1633,169200
1634,177780
1635,172620
1636,168400
1637,246200
1638,193700
1639,197800
1640,190580
1641,189280
1642,228735
1643,241046
1644,227100
1645,255700
1646,157600
1647,157280
1648,154700
1649,136580
1650,108130
1651,115730
1652,95180
1653,95080
1654,172580
1655,134600
1656,161000
1657,174500
1658,161000
1659,128700
1660,126894
1661,466833
1662,320479
1663,397252
1664,459481
1665,318734
1666,300800
1667,308000
1668,293826
1669,231526
1670,285662
1671,215280
1672,448848
1673,287622
1674,251058
1675,204403
1676,203025
1677,205683
1678,448848
1679,267419
1680,305797
1681,203200
1682,286600
1683,183050
1684,176706
1685,176506
1686,170400
1687,169200
1688,183600
1689,174400
1690,180620
1691,160680
1692,234929
1693,169200
1694,182220
1695,169200
1696,288780
1697,169200
1698,364485
1699,393772
1700,245360
1701,283300
1702,283824
1703,270015
1704,319960
1705,188180
1706,402081
1707,201436
1708,225140
1709,234420
1710,198055
1711,224807
1712,220267
1713,270470
1714,239000
1715,208290
1716,184640
1717,162600
1718,135100
1719,207920
1720,234920
1721,166100
1722,135100
1723,166100
1724,246324
1725,228400
1726,191080
1727,194900
1728,177660
1729,157580
1730,131077
1731,124600
1732,122880
1733,128700
1734,129340
1735,119880
1736,119380
1737,383252
1738,197500
1739,299556
1740,222860
1741,199640
1742,174280
1743,165380
1744,245550
1745,203380
1746,176894
1747,199700
1748,250618
1749,164740
1750,147000
1751,191200
1752,129200
1753,209640
1754,228400
1755,196940
1756,118981
1757,124410
1758,167830
1759,197500
1760,197830
1761,189540
1762,201300
1763,159200
1764,120600
1765,214181
1766,185880
1767,220940
1768,134815
1769,179614
1770,134780
1771,148580
1772,165798
1773,148580
1774,241267
1775,138600
1776,129698
1777,112700
1778,122700
1779,101520
1780,166060
1781,143270
1782,119540
1783,153060
1784,107180
1785,136645
1786,253380
1787,158300
1788,85900
1789,110000
1790,94800
1791,283124
1792,180098
1793,143100
1794,119100
1795,141360
1796,98900
1797,139360
1798,132940
1799,102100
1800,136980
1801,170000
1802,155800
1803,172030
1804,127492
1805,131920
1806,130790
1807,144680
1808,166720
1809,118500
1810,157580
1811,130380
1812,122100
1813,117020
1814,124410
1815,93500
1816,107300
1817,178220
1818,194400
1819,98500
1820,74480
1821,140900
1822,192520
1823,72100
1824,155360
1825,149880
1826,112600
1827,134100
1828,142040
1829,137620
1830,198280
1831,169380
1832,173680
1833,203900
1834,157900
1835,162000
1836,169780
1837,96920
1838,142985
1839,96400
1840,135535
1841,139535
1842,95280
1843,133650
1844,127998
1845,163400
1846,154690
1847,221500
1848,69800
1849,109924
1850,132776
1851,154140
1852,134265
1853,136680
1854,139700
1855,151800
1856,226600
1857,136877
1858,137990
1859,124684
1860,175660
1861,117484
1862,325678
1863,325678
1864,325678
1865,269564
1866,314834
1867,248924
1868,220267
1869,199975
1870,200275
1871,248924
1872,167367
1873,226200
1874,137550
1875,189580
1876,196800
1877,232556
1878,217626
1879,128941
1880,128480
1881,274824
1882,204460
1883,194000
1884,223635
1885,225380
1886,219267
1887,185950
1888,242643
1889,145266
1890,154000
1891,127998
1892,127400
1893,155180
1894,158800
1895,153200
1896,127400
1897,121300
1898,92500
1899,152700
1900,92500
1901,160260
1902,134900
1903,226960
1904,145100
1905,205040
1906,148820
1907,224300
1908,100560
1909,143510
1910,143510
1911,181500
1912,226404
1913,207600
1914,87300
1915,275100
1916,93500
1917,245360
1918,128301
1919,155550
1920,242600
1921,396259
1922,255878
1923,194494
1924,240800
1925,201200
1926,382732
1927,137180
1928,176480
1929,109560
1930,127998
1931,122880
1932,149540
1933,210660
1934,178700
1935,175453
1936,178700
1937,174800
1938,172914
1939,224981
1940,202940
1941,178700
1942,193700
1943,187480
1944,308042
1945,310797
1946,193700
1947,230880
1948,246618
1949,231961
1950,189780
1951,287380
1952,286455
1953,157320
1954,202100
1955,142300
1956,347226
1957,189080
1958,311460
1959,210940
1960,123750
1961,115730
1962,95180
1963,99800
1964,109900
1965,161000
1966,134600
1967,263103
1968,402081
1969,320908
1970,481333
1971,426612
1972,321950
1973,238480
1974,300240
1975,402081
1976,245700
1977,366385
1978,478233
1979,341086
1980,200103
1981,300800
1982,194900
1983,194900
1984,166080
1985,188940
1986,215707
1987,158291
1988,182220
1989,193700
1990,224145
1991,205683
1992,203760
1993,175400
1994,216260
1995,184900
1996,242300
1997,304857
1998,382732
1999,211360
2000,305383
2001,281730
2002,250412
2003,264859
2004,235980
2005,214160
2006,185616
2007,252880
2008,173580
2009,192170
2010,190380
2011,135535
2012,158380
2013,172860
2014,180700
2015,190380
2016,208290
2017,190200
